mmsi,vessel_name,vessel_type,flag,latitude,longitude,sog_knots,cog_degrees,draught_m,length_m,direction,current_zone,nav_status,safety_assessment,timestamp
78960108,R/E YASYRETA - C42,Remolcador de Empuje (Convoy),Paraguay,-28.66162,-59.14383,0.2,157.2,3.1,284,Aguas Abajo (Descendente),Bella Vista,Restricted Maneuverability,Posible Varadura / Parada No Autorizada en Canal,2026-09-19 11:17:20
79529830,R/E ITAIPU III - C39,Remolcador de Empuje (Convoy),Paraguay,-31.51324,-60.40389,7.3,181.8,3.0,200,Aguas Abajo (Descendente),La Paz,Underway using engine,Operación Normal,2026-09-19 11:02:20
77383744,R/E DON CARLOS - C15,Remolcador de Empuje (Convoy),Paraguay,-28.31314,-59.09405,6.9,187.1,3.4,238,Aguas Abajo (Descendente),Empedrado,Underway using engine,Operación Normal,2026-09-19 11:17:20
79416102,R/E GUARAN I - C76,Remolcador de Empuje (Convoy),Argentina,-27.73038,-58.98175,5.9,332.8,3.1,266,Aguas Arriba (Ascendente),Paso Puente General Belgrano,Underway using engine,Operación Normal,2026-09-19 11:08:20
74288069,T/K DELTA STAR,Tanquero Fluvial,Argentina,-34.21629,-58.81396,10.0,2.4,5.8,96,Aguas Arriba (Ascendente),Campana (Paraná de las Palmas),Underway using engine,Operación Normal,2026-09-19 11:14:20
71716655,M/V NAVIGATOR I,Granelero Panamax / Handymax,Liberia,-28.14492,-59.08973,9.3,176.9,8.8,201,Aguas Abajo (Descendente),Empedrado,Underway using engine,Operación Normal,2026-09-19 11:01:20
76990135,R/E DON CARLOS - C69,Remolcador de Empuje (Convoy),Paraguay,-34.09065,-59.04145,14.2,153.4,2.9,186,Aguas Abajo (Descendente),San Pedro,Underway using engine,Exceso de Velocidad en Solera Estrecha,2026-09-19 11:15:20
72527019,M/V NORDIC BULKER,Granelero Panamax / Handymax,Malta,-28.33413,-59.09606,8.7,160.0,8.7,188,Aguas Abajo (Descendente),Empedrado,Underway using engine,Operación Normal,2026-09-19 11:06:20
71056175,R/E ITAIPU III - C57,Remolcador de Empuje (Convoy),Paraguay,-32.8632,-60.66847,7.3,175.5,3.1,208,Aguas Abajo (Descendente),Polo San Lorenzo / San Martín,Underway using engine,Operación Normal,2026-09-19 11:15:20
79594664,R/E DON CARLOS - C56,Remolcador de Empuje (Convoy),Paraguay,-27.46314,-58.85688,6.8,347.4,3.0,208,Aguas Arriba (Ascendente),Confluencia / Corrientes,Underway using engine,Operación Normal,2026-09-19 11:14:20
72819823,R/E GUARAN I - C78,Remolcador de Empuje (Convoy),Paraguay,-34.19278,-58.85457,9.2,7.8,3.3,223,Aguas Arriba (Ascendente),Campana (Paraná de las Palmas),Underway using engine,Operación Normal,2026-09-19 11:06:20
74214000,R/E CAACUPE - C52,Remolcador de Empuje (Convoy),Bolivia,-29.68518,-59.43271,5.3,157.8,2.5,269,Aguas Abajo (Descendente),Goya,Underway using engine,Operación Normal,2026-09-19 10:59:20
79035351,M/V GLOBAL EXPLORER,Granelero Panamax / Handymax,Islas Marshall,-33.18203,-60.36225,9.1,2.6,8.7,229,Aguas Arriba (Ascendente),Rosario Rada / Puertos,Underway using engine,Operación Normal,2026-09-19 11:05:20
74543496,T/K SOL DEL PLATA,Tanquero Fluvial,Paraguay,-34.19847,-58.81809,9.6,353.0,3.8,138,Aguas Arriba (Ascendente),Campana (Paraná de las Palmas),Underway using engine,Derrota Fuera del Canal Balizado,2026-09-19 11:11:20
77142479,M/V GLOBAL EXPLORER,Granelero Panamax / Handymax,Islas Marshall,-33.89043,-59.34746,9.0,179.6,9.3,228,Aguas Abajo (Descendente),San Pedro,Underway using engine,Operación Normal,2026-09-19 11:02:20
76849954,R/E GUARAN I - C21,Remolcador de Empuje (Convoy),Argentina,-34.31567,-58.62109,7.2,357.1,2.9,283,Aguas Arriba (Ascendente),Campana (Paraná de las Palmas),Underway using engine,Operación Normal,2026-09-19 11:13:20
76121130,R/E DON CARLOS - C62,Remolcador de Empuje (Convoy),Paraguay,-31.95835,-60.60159,7.2,153.6,2.5,261,Aguas Abajo (Descendente),Paraná / Santa Fe,Underway using engine,Operación Normal,2026-09-19 11:13:20
78416801,M/V NAVIGATOR I,Granelero Panamax / Handymax,Liberia,-32.87849,-60.65864,8.9,167.0,9.3,206,Aguas Abajo (Descendente),Polo San Lorenzo / San Martín,Underway using engine,Operación Normal,2026-09-19 11:16:20
